CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,43,68,53
2,Male,42,84,16
3,Female,43,59,43
4,Female,36,65,56
5,Male,52,29,17
6,Female,22,39,49
7,Male,45,42,66
8,Male,18,49,37
9,Male,48,20,44
10,Female,20,83,87
11,Female,47,82,19
12,Male,43,62,55
13,Female,45,82,91
14,Female,49,46,43
15,Male,44,83,32
16,Female,47,38,21
17,Female,24,102,78
18,Female,32,21,25
19,Female,47,61,47
20,Male,19,66,74
21,Female,37,48,54
22,Female,50,83,16
23,Male,43,46,59
24,Male,40,58,58
25,Female,36,73,51
26,Male,35,18,10
27,Female,35,80,81
28,Female,52,25,12
29,Male,40,32,18
30,Female,26,60,54
31,Female,31,54,55
32,Female,49,57,37
33,Male,51,96,15
34,Male,46,63,6
35,Female,48,78,89
36,Male,47,15,12
37,Female,47,40,8
38,Male,22,104,65
39,Male,52,21,15
40,Female,42,57,34
41,Female,43,80,31
42,Female,44,49,57
43,Male,42,59,35
44,Female,37,76,20
45,Female,28,59,44
46,Female,33,61,54
47,Male,48,98,14
48,Female,52,87,12
49,Male,49,50,48
50,Female,58,16,1
51,Female,30,48,16
52,Male,43,22,17
53,Male,42,45,58
54,Male,54,42,59
55,Male,37,57,49
56,Male,39,61,35
57,Female,31,84,100
58,Male,37,103,71
59,Female,46,28,11
60,Male,31,36,17
61,Male,35,55,43
62,Male,19,87,65
63,Female,18,92,77
64,Female,32,62,55
65,Male,35,76,90
66,Female,35,109,86
67,Female,37,86,90
68,Male,45,96,13
69,Female,57,21,28
70,Male,51,81,14
71,Male,27,23,30
72,Female,29,78,10
73,Male,36,46,43
74,Male,37,35,18
75,Female,37,24,30
76,Male,46,77,24
77,Female,54,91,18
78,Female,36,46,52
79,Female,37,77,66
80,Female,37,52,42
81,Female,26,65,29
82,Female,50,77,33
83,Male,29,62,41
84,Male,49,29,21
85,Female,46,23,23
86,Female,32,32,28
87,Male,48,35,62
88,Female,33,79,63
89,Male,49,33,38
90,Female,32,85,73
91,Male,61,22,10
92,Male,31,71,63
93,Male,52,93,24
94,Male,54,96,24
95,Male,34,91,21
96,Male,22,89,76
97,Male,59,100,35
98,Male,45,27,34
99,Male,48,27,9
100,Male,38,56,39
101,Male,45,54,70
102,Male,38,55,54
103,Male,47,83,7
104,Male,42,48,39
105,Male,37,59,34
106,Female,46,64,63
107,Female,39,85,10
108,Female,58,88,22
109,Female,35,35,19
110,Female,36,52,54
111,Male,28,83,85
112,Female,42,19,23
113,Female,39,87,21
114,Female,23,84,96
115,Female,45,15,1
116,Male,48,55,51
117,Female,50,31,56
118,Female,32,45,48
119,Male,59,77,15
120,Female,47,105,79
121,Male,31,88,100
122,Female,57,89,86
123,Female,53,33,13
124,Male,55,82,13
125,Female,45,25,23
126,Male,18,91,86
127,Female,36,91,8
128,Female,39,24,21
129,Female,42,32,7
130,Female,34,83,82
131,Male,46,16,27
132,Male,38,38,32
133,Male,32,86,81
134,Male,39,87,27
135,Female,34,77,71
136,Male,25,36,16
137,Male,34,40,44
138,Male,30,84,82
139,Female,31,64,45
140,Male,48,29,5
141,Female,45,89,81
142,Male,30,82,100
143,Male,29,44,53
144,Female,36,81,86
145,Male,41,82,92
146,Male,59,98,23
147,Female,41,68,15
148,Male,31,89,76
149,Male,51,102,16
150,Female,45,23,21
151,Male,51,59,64
152,Female,29,58,58
153,Male,52,24,29
154,Female,36,90,91
155,Female,42,36,23
156,Female,41,58,23
157,Female,52,52,1
158,Male,32,59,40
159,Female,56,67,47
160,Male,51,55,56
161,Female,44,26,10
162,Female,36,55,38
163,Male,45,18,29
164,Female,47,22,19
165,Male,24,94,72
166,Female,37,95,14
167,Female,26,59,57
168,Male,41,57,59
169,Female,51,91,4
170,Female,45,52,47
171,Male,59,98,36
172,Female,38,87,86
173,Male,55,86,19
174,Female,35,54,45
175,Male,48,31,20
176,Female,51,31,16
177,Female,60,88,6
178,Male,30,50,35
179,Male,36,46,53
180,Female,41,52,58
181,Female,43,58,56
182,Female,21,36,48
183,Male,40,88,82
184,Male,44,96,20
185,Female,38,59,47
186,Female,44,64,46
187,Female,56,91,8
188,Female,39,31,21
189,Female,42,47,47
190,Male,38,76,22
191,Male,58,53,53
192,Female,46,15,35
193,Female,49,29,21
194,Male,34,54,67
195,Male,45,35,14
196,Female,57,15,25
197,Male,23,87,80
198,Male,31,53,36
199,Female,67,27,33
200,Male,50,80,32
201,Female,38,54,56
202,Male,27,56,48
203,Male,30,74,89
204,Female,51,20,20
205,Male,55,27,13
206,Female,53,39,25
207,Male,50,36,31
208,Female,29,60,57
209,Female,39,31,6
210,Female,44,100,90
211,Male,36,53,40
212,Male,41,89,83
213,Male,37,22,24
214,Female,32,59,52
215,Male,36,53,50
216,Male,36,71,51
217,Male,43,15,11
218,Male,44,19,34
219,Male,38,67,53
220,Male,62,84,18
221,Male,44,64,1
222,Female,36,88,89
223,Male,46,52,62
224,Male,40,57,62
225,Female,49,80,25
226,Female,18,55,67
