CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),cluster
1,Female,43,68,53,3
2,Male,42,84,16,2
3,Female,43,59,43,3
4,Female,36,65,56,3
5,Male,52,29,17,0
6,Female,22,39,49,3
7,Male,45,42,66,3
8,Male,18,49,37,3
9,Male,48,20,44,0
10,Female,20,83,87,1
11,Female,47,82,19,2
12,Male,43,62,55,3
13,Female,45,82,91,1
14,Female,49,46,43,0
15,Male,44,83,32,2
16,Female,47,38,21,0
17,Female,24,102,78,1
18,Female,32,21,25,0
19,Female,47,61,47,3
20,Male,19,66,74,1
21,Female,37,48,54,3
22,Female,50,83,16,2
23,Male,43,46,59,3
24,Male,40,58,58,3
25,Female,36,73,51,3
26,Male,35,18,10,0
27,Female,35,80,81,1
28,Female,52,25,12,0
29,Male,40,32,18,0
30,Female,26,60,54,3
31,Female,31,54,55,3
32,Female,49,57,37,2
33,Male,51,96,15,2
34,Male,46,63,6,2
35,Female,48,78,89,1
36,Male,47,15,12,0
37,Female,47,40,8,0
38,Male,22,104,65,1
39,Male,52,21,15,0
40,Female,42,57,34,3
41,Female,43,80,31,2
42,Female,44,49,57,3
43,Male,42,59,35,3
44,Female,37,76,20,2
45,Female,28,59,44,3
46,Female,33,61,54,3
47,Male,48,98,14,2
48,Female,52,87,12,2
49,Male,49,50,48,3
50,Female,58,16,1,0
51,Female,30,48,16,3
52,Male,43,22,17,0
53,Male,42,45,58,3
54,Male,54,42,59,0
55,Male,37,57,49,3
56,Male,39,61,35,3
57,Female,31,84,100,1
58,Male,37,103,71,1
59,Female,46,28,11,0
60,Male,31,36,17,3
61,Male,35,55,43,3
62,Male,19,87,65,1
63,Female,18,92,77,1
64,Female,32,62,55,3
65,Male,35,76,90,1
66,Female,35,109,86,1
67,Female,37,86,90,1
68,Male,45,96,13,2
69,Female,57,21,28,0
70,Male,51,81,14,2
71,Male,27,23,30,3
72,Female,29,78,10,3
73,Male,36,46,43,3
74,Male,37,35,18,0
75,Female,37,24,30,0
76,Male,46,77,24,2
77,Female,54,91,18,2
78,Female,36,46,52,3
79,Female,37,77,66,1
80,Female,37,52,42,3
81,Female,26,65,29,3
82,Female,50,77,33,2
83,Male,29,62,41,3
84,Male,49,29,21,0
85,Female,46,23,23,0
86,Female,32,32,28,3
87,Male,48,35,62,3
88,Female,33,79,63,1
89,Male,49,33,38,0
90,Female,32,85,73,1
91,Male,61,22,10,0
92,Male,31,71,63,1
93,Male,52,93,24,2
94,Male,54,96,24,2
95,Male,34,91,21,2
96,Male,22,89,76,1
97,Male,59,100,35,2
98,Male,45,27,34,0
99,Male,48,27,9,0
100,Male,38,56,39,3
101,Male,45,54,70,3
102,Male,38,55,54,3
103,Male,47,83,7,2
104,Male,42,48,39,3
105,Male,37,59,34,3
106,Female,46,64,63,3
107,Female,39,85,10,2
108,Female,58,88,22,2
109,Female,35,35,19,0
110,Female,36,52,54,3
111,Male,28,83,85,1
112,Female,42,19,23,0
113,Female,39,87,21,2
114,Female,23,84,96,1
115,Female,45,15,1,0
116,Male,48,55,51,3
117,Female,50,31,56,0
118,Female,32,45,48,3
119,Male,59,77,15,2
120,Female,47,105,79,1
121,Male,31,88,100,1
122,Female,57,89,86,1
123,Female,53,33,13,0
124,Male,55,82,13,2
125,Female,45,25,23,0
126,Male,18,91,86,1
127,Female,36,91,8,2
128,Female,39,24,21,0
129,Female,42,32,7,0
130,Female,34,83,82,1
131,Male,46,16,27,0
132,Male,38,38,32,3
133,Male,32,86,81,1
134,Male,39,87,27,2
135,Female,34,77,71,1
136,Male,25,36,16,3
137,Male,34,40,44,3
138,Male,30,84,82,1
139,Female,31,64,45,3
140,Male,48,29,5,0
141,Female,45,89,81,1
142,Male,30,82,100,1
143,Male,29,44,53,3
144,Female,36,81,86,1
145,Male,41,82,92,1
146,Male,59,98,23,2
147,Female,41,68,15,2
148,Male,31,89,76,1
149,Male,51,102,16,2
150,Female,45,23,21,0
151,Male,51,59,64,3
152,Female,29,58,58,3
153,Male,52,24,29,0
154,Female,36,90,91,1
155,Female,42,36,23,0
156,Female,41,58,23,3
157,Female,52,52,1,0
158,Male,32,59,40,3
159,Female,56,67,47,2
160,Male,51,55,56,3
161,Female,44,26,10,0
162,Female,36,55,38,3
163,Male,45,18,29,0
164,Female,47,22,19,0
165,Male,24,94,72,1
166,Female,37,95,14,2
167,Female,26,59,57,3
168,Male,41,57,59,3
169,Female,51,91,4,2
170,Female,45,52,47,3
171,Male,59,98,36,2
172,Female,38,87,86,1
173,Male,55,86,19,2
174,Female,35,54,45,3
175,Male,48,31,20,0
176,Female,51,31,16,0
177,Female,60,88,6,2
178,Male,30,50,35,3
179,Male,36,46,53,3
180,Female,41,52,58,3
181,Female,43,58,56,3
182,Female,21,36,48,3
183,Male,40,88,82,1
184,Male,44,96,20,2
185,Female,38,59,47,3
186,Female,44,64,46,3
187,Female,56,91,8,2
188,Female,39,31,21,0
189,Female,42,47,47,3
190,Male,38,76,22,2
191,Male,58,53,53,2
192,Female,46,15,35,0
193,Female,49,29,21,0
194,Male,34,54,67,3
195,Male,45,35,14,0
196,Female,57,15,25,0
197,Male,23,87,80,1
198,Male,31,53,36,3
199,Female,67,27,33,0
200,Male,50,80,32,2
201,Female,38,54,56,3
202,Male,27,56,48,3
203,Male,30,74,89,1
204,Female,51,20,20,0
205,Male,55,27,13,0
206,Female,53,39,25,0
207,Male,50,36,31,0
208,Female,29,60,57,3
209,Female,39,31,6,0
210,Female,44,100,90,1
211,Male,36,53,40,3
212,Male,41,89,83,1
213,Male,37,22,24,0
214,Female,32,59,52,3
215,Male,36,53,50,3
216,Male,36,71,51,3
217,Male,43,15,11,0
218,Male,44,19,34,0
219,Male,38,67,53,3
220,Male,62,84,18,2
221,Male,44,64,1,2
222,Female,36,88,89,1
223,Male,46,52,62,3
224,Male,40,57,62,3
225,Female,49,80,25,2
226,Female,18,55,67,3
227,Male,42,15,8,0
228,Female,24,86,67,1
229,Female,46,80,100,1
230,Female,36,21,16,0
231,Female,37,15,19,0
232,Female,42,84,2,2
233,Male,41,56,56,3
234,Male,26,76,91,1
235,Female,27,61,52,3
236,Female,43,52,56,3
237,Female,40,87,97,1
238,Male,53,53,60,3
239,Female,38,43,8,0
240,Male,34,38,9,0
241,Female,37,51,56,3
242,Female,32,49,45,3
243,Female,47,17,43,0
244,Female,31,96,77,1
245,Female,21,82,55,1
246,Female,28,39,30,3
247,Female,42,100,82,1
248,Female,41,89,26,2
249,Female,43,90,25,2
250,Male,44,90,24,2
251,Female,39,45,40,3
252,Male,38,58,44,3
253,Female,44,93,88,1
254,Female,58,36,10,0
255,Male,46,20,30,0
256,Male,37,51,34,3
257,Male,50,41,62,3
258,Female,39,18,23,0
259,Male,45,19,28,0
260,Male,40,104,77,1
261,Female,41,26,28,0
262,Female,31,55,51,3
263,Male,53,91,25,2
264,Male,42,39,34,0
265,Female,38,58,46,3
266,Female,48,20,36,0
267,Female,31,83,30,3
268,Male,45,15,28,0
269,Male,45,27,7,0
