transaction_id,item
1,cereal
1,cheese
1,soda
2,milk
2,coffee
2,cheese
2,yogurt
3,eggs
3,sugar
3,coffee
3,yogurt
4,tomato_sauce
4,apples
4,yogurt
5,chips
5,salsa
5,apples
5,yogurt
6,chicken
6,coffee
6,sugar
6,salsa
6,beer
7,rice
7,wipes
7,tomato_sauce
7,diapers
7,bread
7,parmesan
7,beer
8,wipes
8,beer
8,diapers
9,parmesan
9,pasta
9,tomato_sauce
9,butter
9,milk
9,eggs
9,chips
9,bread
9,cereal
9,apples
9,yogurt
10,tomato_sauce
10,eggs
10,milk
10,coffee
11,rice
11,chicken
11,butter
11,bread
11,apples
12,wipes
12,milk
12,chips
12,soda
12,salsa
12,beer
12,apples
13,milk
13,salsa
13,cereal
13,beer
13,yogurt
14,eggs
14,milk
15,rice
15,coffee
15,wipes
15,diapers
15,chips
15,eggs
15,soda
15,beer
16,chicken
16,beer
16,soda
17,parmesan
17,tomato_sauce
17,cereal
17,pasta
18,rice
18,chicken
18,coffee
18,pasta
18,butter
18,tomato_sauce
18,chips
18,salsa
18,apples
19,chicken
19,butter
19,chips
19,soda
19,bread
20,rice
20,chicken
20,butter
20,milk
20,soda
20,bread
20,apples
21,soda
22,rice
22,chicken
22,coffee
22,pasta
22,sugar
23,wipes
23,butter
24,tomato_sauce
24,milk
24,chips
24,salsa
24,parmesan
24,beer
25,chicken
25,apples
26,parmesan
26,tomato_sauce
26,milk
27,chicken
27,coffee
27,cheese
27,eggs
27,cereal
27,apples
28,salsa
28,chips
28,milk
28,beer
29,butter
29,milk
29,bananas
29,bread
29,cereal
29,apples
30,bananas
31,parmesan
31,rice
31,coffee
31,pasta
31,tomato_sauce
31,milk
31,sugar
31,cereal
32,chips
32,soda
32,yogurt
33,cheese
33,butter
33,eggs
33,salsa
33,bread
33,parmesan
33,beer
33,apples
33,yogurt
34,tomato_sauce
34,sugar
34,coffee
35,rice
35,butter
35,eggs
35,chips
35,salsa
35,bread
35,parmesan
36,cereal
36,bread
36,milk
36,sugar
37,rice
37,pasta
37,tomato_sauce
37,bananas
37,bread
37,apples
38,bananas
38,sugar
38,coffee
38,apples
39,rice
39,milk
39,bananas
39,eggs
39,soda
39,cereal
40,cereal
40,chicken
40,milk
41,butter
41,milk
41,bananas
41,soda
41,bread
41,cereal
41,apples
42,cereal
42,butter
42,bread
42,milk
43,soda
43,yogurt
44,cheese
45,cheese
45,milk
45,eggs
45,soda
45,cereal
46,beer
47,bananas
47,apples
48,chicken
48,coffee
48,butter
48,bananas
48,chips
48,eggs
49,eggs
49,beer
50,coffee
50,cheese
50,butter
50,milk
50,bananas
50,chips
50,beer
50,yogurt
51,coffee
51,milk
51,chips
51,eggs
51,soda
51,salsa
51,apples
51,yogurt
52,apples
52,chicken
52,cheese
52,yogurt
53,rice
53,chicken
53,coffee
53,chips
53,salsa
54,coffee
54,cheese
54,milk
54,bananas
54,chips
54,eggs
54,sugar
55,butter
55,eggs
55,cheese
56,butter
56,milk
56,bananas
56,sugar
56,apples
57,coffee
57,butter
57,sugar
57,bread
57,apples
57,yogurt
58,bananas
58,tomato_sauce
58,soda
58,pasta
59,cheese
59,butter
59,tomato_sauce
59,milk
59,bread
59,beer
59,apples
60,coffee
60,cheese
60,bananas
60,eggs
60,chips
60,bread
60,apples
61,bananas
61,cereal
61,coffee
61,apples
62,eggs
62,milk
62,cheese
63,rice
63,chicken
63,soda
64,butter
64,chips
65,coffee
65,bananas
65,eggs
65,sugar
65,beer
66,coffee
66,butter
66,eggs
66,sugar
66,bread
66,apples
67,coffee
67,apples
68,bananas
68,sugar
68,coffee
68,apples
69,parmesan
69,apples
70,butter
70,chips
70,salsa
70,apples
71,pasta
71,tomato_sauce
71,bananas
71,soda
71,parmesan
72,tomato_sauce
72,eggs
72,pasta
73,sugar
73,milk
73,coffee
74,wipes
74,eggs
74,soda
74,pasta
75,butter
75,bread
75,milk
76,chicken
76,cheese
76,butter
76,milk
76,bread
76,yogurt
77,eggs
77,chicken
78,bread
78,parmesan
79,coffee
79,cheese
79,milk
79,bananas
79,eggs
79,soda
80,butter
80,bread
80,milk
81,rice
81,chicken
81,pasta
81,tomato_sauce
81,apples
82,chips
82,eggs
82,rice
82,salsa
83,rice
83,coffee
83,butter
83,soda
83,apples
84,butter
84,salsa
84,tomato_sauce
85,cereal
85,chicken
85,milk
86,rice
86,coffee
86,pasta
86,tomato_sauce
86,soda
86,parmesan
87,butter
87,milk
87,bread
87,parmesan
87,beer
88,chicken
88,milk
88,soda
88,parmesan
88,yogurt
89,milk
89,sugar
90,soda
91,cheese
91,wipes
91,milk
91,bananas
91,soda
91,salsa
91,apples
92,pasta
92,tomato_sauce
92,milk
92,cereal
92,apples
93,bread
93,milk
94,chicken
94,eggs
94,sugar
94,parmesan
94,yogurt
95,coffee
95,butter
95,chips
95,sugar
95,bread
95,yogurt
96,cheese
96,butter
96,sugar
96,soda
96,bread
97,salsa
97,coffee
97,pasta
98,chicken
98,butter
98,milk
98,chips
98,salsa
98,bread
99,wipes
99,rice
99,chicken
100,butter
100,milk
100,bananas
100,cereal
100,apples
101,cheese
101,butter
101,milk
101,chips
101,salsa
101,cereal
101,yogurt
102,tomato_sauce
102,rice
102,parmesan
102,apples
103,eggs
103,soda
104,pasta
104,tomato_sauce
104,chips
104,eggs
104,soda
105,chicken
105,beer
106,parmesan
106,tomato_sauce
106,milk
107,milk
107,cereal
107,beer
107,yogurt
108,chips
108,salsa
108,apples
109,wipes
109,diapers
109,apples
109,yogurt
110,cheese
110,pasta
110,tomato_sauce
110,milk
110,bananas
110,salsa
111,chicken
111,cheese
111,milk
111,chips
111,soda
111,cereal
112,cheese
112,yogurt
113,butter
113,bread
113,soda
114,bananas
114,apples
115,bananas
116,chips
116,salsa
117,parmesan
117,cheese
118,cheese
118,chips
118,sugar
118,salsa
118,bread
118,cereal
119,rice
119,chicken
119,coffee
119,butter
119,bananas
119,eggs
119,sugar
119,apples
120,milk
120,chips
120,cereal
120,apples
121,cheese
121,butter
121,bananas
121,sugar
121,bread
121,yogurt
122,tomato_sauce
122,salsa
123,pasta
123,tomato_sauce
123,milk
123,bananas
123,soda
123,cereal
123,apples
124,butter
124,tomato_sauce
124,chips
124,soda
124,bread
124,parmesan
125,chicken
125,pasta
125,tomato_sauce
125,milk
125,bananas
125,eggs
125,cereal
126,coffee
126,chips
126,sugar
126,salsa
126,soda
126,bread
126,apples
127,chips
127,butter
127,bread
127,milk
128,chicken
128,milk
128,bananas
128,eggs
128,salsa
128,apples
128,yogurt
129,cheese
129,pasta
129,butter
129,tomato_sauce
129,parmesan
129,yogurt
130,beer
130,cheese
130,diapers
131,chips
131,bread
131,apples
132,chips
132,chicken
132,salsa
132,rice
133,eggs
133,bananas
133,butter
133,bread
134,rice
134,wipes
134,tomato_sauce
134,milk
134,eggs
134,apples
134,yogurt
135,rice
135,coffee
135,wipes
135,milk
135,sugar
135,soda
135,cereal
135,yogurt
136,tomato_sauce
136,chips
136,parmesan
136,beer
136,apples
137,cheese
137,pasta
137,tomato_sauce
137,sugar
137,yogurt
138,parmesan
138,butter
138,tomato_sauce
138,milk
138,bananas
138,soda
138,cereal
138,apples
139,rice
139,chicken
139,tomato_sauce
139,milk
139,cereal
139,yogurt
140,chicken
140,milk
140,bananas
140,chips
140,eggs
141,rice
141,wipes
141,bananas
141,bread
141,cereal
141,apples
142,chicken
142,milk
142,chips
142,eggs
142,soda
142,salsa
142,yogurt
143,pasta
143,tomato_sauce
143,milk
143,chips
143,parmesan
144,cereal
144,coffee
145,pasta
145,wipes
145,milk
145,diapers
145,sugar
145,cereal
146,cheese
146,butter
146,milk
146,bread
146,cereal
146,beer
147,rice
147,chicken
147,milk
147,diapers
147,chips
148,butter
148,yogurt
149,coffee
150,butter
150,bread
150,chicken
151,coffee
151,cheese
151,butter
151,bread
151,yogurt
152,diapers
153,salsa
153,rice
154,coffee
154,wipes
154,butter
154,sugar
154,bread
155,coffee
155,milk
155,sugar
155,cereal
155,apples
156,milk
156,bananas
156,sugar
156,cereal
156,apples
157,chicken
157,milk
157,apples
157,pasta
158,butter
158,tomato_sauce
158,eggs
158,soda
158,beer
159,apples
160,tomato_sauce
160,chips
160,parmesan
160,beer
161,rice
161,bananas
161,eggs
161,bread
161,yogurt
162,rice
162,chicken
162,cheese
162,butter
162,bananas
162,bread
162,cereal
162,beer
163,tomato_sauce
163,eggs
163,yogurt
164,chips
164,salsa
165,bananas
165,salsa
165,apples
165,yogurt
166,pasta
166,butter
166,tomato_sauce
166,milk
166,bread
166,parmesan
166,beer
167,apples
168,wipes
168,milk
168,diapers
168,bananas
168,cereal
168,apples
168,yogurt
169,milk
169,chips
169,cereal
169,apples
170,rice
170,chicken
170,cheese
170,milk
170,eggs
170,sugar
170,soda
170,yogurt
171,coffee
171,butter
171,bananas
171,sugar
171,bread
171,apples
172,milk
173,butter
174,wipes
174,butter
174,chips
175,apples
175,eggs
175,milk
175,cheese
176,cereal
177,wipes
177,tomato_sauce
177,cheese
178,butter
178,eggs
178,coffee
179,cheese
179,wipes
179,sugar
179,beer
179,apples
180,pasta
180,butter
180,tomato_sauce
180,bananas
180,eggs
180,soda
180,bread
180,parmesan
180,apples
181,salsa
181,chips
181,milk
181,beer
182,eggs
182,bread
182,salsa
182,soda
183,rice
183,chicken
183,coffee
183,cheese
183,eggs
183,beer
183,apples
184,chicken
184,diapers
185,parmesan
185,rice
185,cheese
185,milk
185,bananas
185,sugar
185,salsa
185,cereal
186,wipes
186,butter
186,diapers
186,soda
186,bread
187,wipes
187,butter
187,milk
187,eggs
187,bread
187,apples
187,yogurt
188,wipes
188,bananas
188,rice
188,chicken
189,coffee
189,pasta
189,tomato_sauce
189,milk
189,chips
189,eggs
189,sugar
189,salsa
189,parmesan
190,eggs
190,cereal
190,soda
191,bread
191,milk
191,beer
192,butter
192,milk
192,chips
192,sugar
192,bread
192,cereal
193,butter
193,milk
193,soda
194,cheese
194,butter
194,bananas
194,chips
194,salsa
194,parmesan
195,chicken
195,wipes
195,butter
195,diapers
195,bananas
195,beer
196,eggs
197,eggs
197,milk
197,apples
198,pasta
198,tomato_sauce
198,milk
198,soda
198,parmesan
199,rice
199,chicken
199,milk
199,eggs
199,sugar
200,cheese
200,milk
200,bananas
200,eggs
200,soda
200,yogurt
201,coffee
201,wipes
201,diapers
201,sugar
201,soda
201,apples
202,parmesan
202,milk
202,eggs
202,cereal
202,apples
203,pasta
203,butter
203,tomato_sauce
203,chips
203,salsa
203,bread
203,yogurt
204,chips
204,eggs
204,soda
204,salsa
204,apples
204,yogurt
205,wipes
205,butter
205,diapers
205,eggs
205,bread
205,beer
206,rice
206,chicken
206,apples
207,pasta
207,tomato_sauce
207,bread
207,parmesan
207,apples
208,cereal
208,milk
209,butter
210,butter
210,milk
210,eggs
210,bread
210,apples
211,wipes
211,yogurt
212,butter
212,milk
212,sugar
212,soda
212,bread
212,parmesan
212,apples
213,coffee
213,pasta
213,tomato_sauce
213,milk
213,sugar
213,soda
214,yogurt
215,wipes
215,chicken
215,beer
215,soda
216,cheese
216,tomato_sauce
216,butter
216,milk
216,bread
216,parmesan
216,apples
217,coffee
217,tomato_sauce
217,butter
217,milk
217,sugar
217,bread
218,rice
218,beer
219,rice
219,wipes
219,diapers
219,eggs
219,beer
220,tomato_sauce
220,parmesan
220,coffee
221,chicken
221,coffee
221,wipes
221,tomato_sauce
221,butter
221,chips
221,sugar
221,salsa
221,bread
222,rice
222,chicken
222,cheese
222,milk
222,bananas
222,cereal
222,apples
223,pasta
223,tomato_sauce
223,soda
223,yogurt
224,parmesan
224,milk
224,yogurt
225,milk
225,soda
225,yogurt
226,bananas
226,chips
226,chicken
227,chicken
227,coffee
227,butter
227,bread
227,apples
228,parmesan
228,coffee
229,bananas
229,chicken
229,beer
230,wipes
230,milk
230,diapers
230,bread
230,beer
231,coffee
231,tomato_sauce
231,butter
231,milk
231,chips
231,bread
231,cereal
232,sugar
232,coffee
232,soda
233,rice
233,coffee
233,pasta
233,tomato_sauce
233,milk
233,eggs
233,chips
233,salsa
233,sugar
233,bread
233,cereal
233,beer
233,apples
234,chicken
234,eggs
234,milk
234,rice
235,butter
235,cereal
235,beer
235,yogurt
236,tomato_sauce
236,eggs
237,chicken
237,coffee
237,cheese
237,tomato_sauce
237,bananas
237,chips
237,sugar
237,salsa
238,butter
238,apples
239,pasta
239,wipes
239,tomato_sauce
239,diapers
239,parmesan
239,apples
239,yogurt
240,coffee
240,wipes
240,milk
240,chips
240,sugar
240,parmesan
241,coffee
241,butter
241,tomato_sauce
241,bananas
241,eggs
241,cereal
242,sugar
242,apples
242,pasta
243,cheese
243,butter
243,chips
243,sugar
243,salsa
243,apples
244,cheese
244,butter
244,milk
244,cereal
244,yogurt
245,rice
245,chicken
245,wipes
245,tomato_sauce
245,chips
245,cereal
245,apples
246,wipes
246,tomato_sauce
247,chips
247,rice
247,yogurt
248,butter
249,eggs
249,chicken
249,rice
250,bananas
250,chips
250,salsa
250,cereal
250,apples
251,parmesan
251,chicken
251,wipes
251,tomato_sauce
251,milk
251,diapers
251,chips
251,soda
251,salsa
251,cereal
252,tomato_sauce
252,milk
252,eggs
252,apples
252,yogurt
253,tomato_sauce
253,butter
253,milk
253,bread
253,cereal
254,cheese
254,butter
254,bananas
254,salsa
254,soda
254,bread
255,beer
256,cereal
256,cheese
256,milk
256,sugar
256,parmesan
256,yogurt
257,chicken
257,coffee
257,butter
257,chips
257,soda
257,yogurt
258,butter
258,milk
258,beer
258,soda
259,coffee
259,cheese
259,wipes
259,butter
259,tomato_sauce
259,diapers
259,eggs
