PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,3,male,,0,0,2.91,Q,0
2,2,female,17.8,0,0,0.77,S,1
3,3,female,60.9,0,2,5.91,S,0
4,3,female,52.4,0,0,14.95,S,1
5,1,female,23.6,0,3,300.91,S,1
6,3,female,24.3,1,0,5.5,C,1
7,3,female,14.1,0,0,5.38,S,1
8,3,male,4.2,1,0,1.72,C,0
9,1,female,27.5,0,0,169.56,S,1
10,3,male,,1,0,42.07,S,0
11,2,male,27.9,0,0,1.44,S,0
12,3,female,8.2,0,0,1.28,C,1
13,3,female,19.1,0,2,4.1,S,1
14,3,female,,2,0,30.08,S,1
15,2,male,33.8,0,0,96.18,C,0
16,1,female,34.4,0,1,36.56,S,1
17,3,female,,0,0,18.87,S,1
18,1,male,40.1,1,2,75.14,S,1
19,3,male,,0,0,3.28,C,0
20,3,male,37.2,0,0,10.71,S,0
21,3,female,,0,0,39.3,S,1
22,2,male,11.1,2,0,28.63,S,1
23,3,female,24.9,0,0,20.28,S,1
24,3,male,33.7,0,1,18.49,S,0
25,3,female,37.0,3,0,2.04,S,1
26,1,male,27.2,0,0,59.72,S,0
27,3,female,48.9,0,0,15.7,S,1
28,1,male,,0,0,63.24,C,1
29,1,male,25.7,0,2,0.9,S,0
30,3,female,,0,0,1.27,S,1
31,3,female,54.1,0,0,31.67,Q,1
32,3,female,,1,0,19.14,Q,0
33,2,male,,1,0,27.09,S,1
34,2,male,17.0,0,3,43.19,S,0
35,3,male,48.3,0,0,16.37,S,1
36,1,male,15.2,0,0,318.21,S,1
37,1,female,11.8,3,0,197.66,S,0
38,3,female,22.7,0,0,4.28,S,1
39,1,female,34.5,0,0,34.66,S,1
40,3,female,27.7,0,0,10.05,S,1
41,2,female,20.5,0,0,6.17,S,1
42,3,female,20.2,0,0,26.41,S,1
43,3,male,19.7,1,0,2.6,S,0
44,2,male,17.6,0,0,17.82,C,0
45,3,male,58.7,2,0,18.46,C,0
46,3,female,32.9,0,0,12.06,S,0
47,2,male,40.5,1,1,5.9,S,1
48,2,male,,1,0,13.71,S,0
49,3,female,26.6,4,0,2.08,S,1
50,1,male,,0,0,61.31,C,0
51,1,male,0.5,0,0,67.96,S,0
52,1,female,,0,0,58.46,S,1
53,3,female,,0,0,10.65,S,1
54,3,male,,0,1,3.81,S,1
55,3,female,13.5,4,0,45.59,S,1
56,3,male,,4,0,17.45,S,1
57,3,female,28.4,0,0,13.09,Q,1
58,3,male,45.8,0,0,14.64,S,0
59,1,male,34.3,1,0,40.13,S,0
60,1,male,39.2,2,1,216.96,S,1
61,3,male,,0,0,2.06,S,1
62,3,female,35.8,0,0,0.58,S,1
63,3,male,38.5,1,0,15.01,S,0
64,3,male,21.5,0,0,11.76,C,0
65,3,male,36.3,0,1,5.34,S,0
66,3,female,,4,0,53.5,S,0
67,3,female,21.9,4,0,16.82,S,1
68,2,female,,2,0,14.46,S,1
69,1,male,13.6,1,0,131.62,S,1
70,2,male,30.1,0,0,3.54,C,0
71,1,male,33.3,0,0,35.03,S,1
72,2,male,18.7,0,0,4.45,S,0
73,3,female,,0,2,3.18,S,1
74,1,female,36.4,0,0,126.79,S,1
75,1,male,37.0,0,0,53.13,S,0
76,2,male,49.2,0,0,16.41,S,1
77,2,female,45.6,1,0,7.43,S,1
78,3,male,16.0,0,1,1.78,S,1
79,3,male,,0,0,4.07,C,0
80,3,male,22.1,0,1,4.22,C,1
81,3,male,42.6,0,1,12.71,C,0
82,2,male,29.9,1,0,26.05,Q,1
83,3,male,23.6,0,0,56.39,C,0
84,1,male,5.5,0,2,187.53,C,1
85,1,male,,1,0,383.67,C,1
86,1,male,8.7,0,0,129.78,C,1
87,3,male,,0,2,0.15,C,0
88,3,female,48.7,0,1,1.56,Q,1
89,1,female,18.6,0,0,76.18,S,1
90,3,male,32.9,0,0,9.35,S,0
91,1,male,19.6,0,0,20.92,S,0
92,3,female,20.8,0,1,3.51,C,1
93,2,male,39.1,0,0,27.02,S,0
94,2,male,28.5,0,0,8.88,C,0
95,2,female,,0,0,27.67,C,1
96,3,male,22.7,1,2,16.78,Q,1
97,2,female,42.0,0,1,10.26,S,1
98,1,male,30.3,0,0,65.58,C,0
99,1,female,,0,0,31.7,C,1
100,3,male,,0,2,12.84,Q,0
101,3,male,28.4,0,2,35.43,Q,1
102,3,male,27.5,1,0,20.26,S,0
103,2,male,18.1,2,0,20.03,S,0
104,3,female,37.6,0,0,18.72,S,0
105,3,male,37.5,0,0,7.36,Q,0
106,3,male,36.7,2,0,7.29,S,0
107,2,female,49.0,0,0,3.0,C,1
108,2,female,47.8,0,0,9.72,C,1
109,1,male,,0,1,66.39,S,0
110,3,male,33.8,0,0,5.79,S,0
111,3,female,,1,0,0.88,S,1
112,1,female,29.3,0,0,3.83,C,1
113,2,female,21.2,3,0,7.14,S,1
114,3,female,50.1,0,0,3.2,S,1
115,1,female,33.7,0,0,52.07,C,1
116,3,male,26.2,0,0,12.34,S,0
117,3,male,44.5,0,0,12.03,C,0
118,3,male,0.8,0,2,2.82,S,1
119,2,female,2.8,0,0,29.96,S,1
120,3,female,39.3,0,2,32.18,S,1
121,3,male,29.8,1,2,12.81,S,1
122,3,male,32.3,0,1,10.77,S,0
123,1,male,11.8,0,0,17.96,C,1
124,2,female,28.7,0,0,0.56,S,1
125,1,male,55.0,0,0,113.07,S,0
126,3,male,39.7,1,0,34.79,S,1
127,2,male,31.2,1,0,60.17,S,1
128,1,male,23.3,1,2,4.53,Q,1
129,1,male,23.9,0,0,93.38,S,1
130,3,male,1.3,0,1,8.49,Q,0
131,1,male,,0,0,1.63,S,0
