transaction_id,amount_usd,hour_of_day,account_age_days,transactions_last_hour,distance_from_home_km,is_anomaly
tx100000,20.6,23,1038.0,1,3.23,0
tx100001,31.49,11,437.0,1,29.19,0
tx100002,18.25,12,1206.0,5,5.64,0
tx100003,72.47,8,488.0,3,3.47,0
tx100004,16.68,8,1925.0,0,21.54,0
tx100005,16.95,8,96.0,1,5.49,0
tx100006,78.78,21,1028.0,1,3.57,0
tx100007,44.57,21,698.0,1,5.76,0
tx100008,12.62,7,1837.0,0,1.24,0
tx100009,28.99,14,238.0,2,13.69,0
tx100010,19.66,13,428.0,1,3.16,0
tx100011,17.96,14,1420.0,0,15.78,0
tx100012,60.01,10,742.0,1,0.33,0
tx100013,10.26,12,775.0,0,14.91,0
tx100014,73.75,6,1862.0,2,0.63,0
tx100015,38.2,12,776.0,1,1.85,0
tx100016,11.52,14,1377.0,3,16.36,0
tx100017,38.56,4,1704.0,1,7.3,0
tx100018,44.82,19,881.0,3,2.1,0
tx100019,32.02,2,160.0,1,0.06,0
tx100020,27.06,19,1676.0,1,12.63,0
tx100021,70.4,9,1806.0,0,1.7,0
tx100022,24.12,11,772.0,0,0.92,0
tx100023,102.68,16,1419.0,1,2.0,0
tx100024,56.59,16,1300.0,0,1.9,0
tx100025,51.27,21,471.0,1,36.67,0
tx100026,18.28,15,1803.0,3,7.95,0
tx100027,16.31,0,722.0,2,6.21,0
tx100028,20.3,19,1353.0,1,11.3,0
tx100029,18.77,16,272.0,2,2.65,0
tx100030,25.47,17,1408.0,0,15.08,0
tx100031,39.47,20,1417.0,1,2.13,0
tx100032,11.92,3,1040.0,1,1.94,0
tx100033,1140.58,2,16.0,5,47.98,1
tx100034,43.7,2,688.0,1,5.46,0
tx100035,21.08,10,213.0,1,1.13,0
tx100036,101.43,17,373.0,0,14.12,0
tx100037,29.03,20,1207.0,0,2.23,0
tx100038,326.85,5,59.0,9,55.13,1
tx100039,75.65,16,1491.0,1,10.33,0
tx100040,69.25,16,790.0,2,3.45,0
tx100041,46.51,8,1421.0,0,0.39,0
tx100042,38.8,9,531.0,2,7.83,0
tx100043,48.23,20,1504.0,1,2.15,0
tx100044,90.24,18,972.0,1,1.38,0
tx100045,11.51,17,1351.0,2,9.4,0
tx100046,41.58,15,1598.0,1,1.75,0
tx100047,14.59,14,549.0,1,0.18,0
tx100048,41.6,19,1507.0,0,2.05,0
tx100049,39.25,14,1724.0,0,1.23,0
tx100050,81.07,11,320.0,1,2.03,0
tx100051,19.71,14,1469.0,2,3.32,0
tx100052,23.53,10,578.0,2,0.44,0
tx100053,21.31,16,1403.0,2,1.49,0
tx100054,30.23,18,290.0,2,1.72,0
tx100055,14.08,17,720.0,0,26.59,0
tx100056,40.93,19,612.0,0,17.47,0
tx100057,27.28,19,690.0,2,2.15,0
tx100058,28.4,19,83.0,2,6.58,0
tx100059,117.19,12,1052.0,1,2.01,0
tx100060,19.7,10,1088.0,2,8.69,0
tx100061,34.82,17,1759.0,0,1.61,0
tx100062,58.59,18,874.0,6,1.21,0
tx100063,14.73,15,1453.0,0,7.54,0
tx100064,27.31,15,444.0,1,4.83,0
tx100065,30.06,20,1070.0,0,0.35,0
tx100066,24.32,11,435.0,0,6.45,0
tx100067,30.22,10,1026.0,1,4.96,0
tx100068,32.53,7,487.0,1,10.05,0
tx100069,34.75,12,1122.0,0,6.56,0
tx100070,32.73,17,1409.0,0,3.56,0
tx100071,14.62,10,1426.0,1,18.92,0
tx100072,92.4,18,1925.0,1,0.78,0
tx100073,35.79,20,1099.0,0,0.07,0
tx100074,19.34,14,391.0,1,6.65,0
tx100075,36.29,8,439.0,0,1.72,0
tx100076,45.65,8,709.0,0,1.01,0
tx100077,53.62,5,1544.0,0,0.64,0
tx100078,23.98,16,1846.0,1,2.35,0
tx100079,26.93,18,1371.0,1,6.77,0
tx100080,24.83,13,392.0,0,0.74,0
tx100081,12.2,15,1580.0,1,6.9,0
tx100082,123.16,13,107.0,0,2.73,0
tx100083,41.23,0,694.0,2,10.63,0
tx100084,27.05,11,1085.0,1,1.97,0
tx100085,63.85,8,1488.0,1,7.32,0
tx100086,43.91,8,879.0,1,0.99,0
tx100087,36.29,18,983.0,2,3.49,0
tx100088,49.78,17,831.0,0,2.22,0
tx100089,18.42,12,1756.0,0,9.82,0
tx100090,18.11,20,365.0,0,1.51,0
tx100091,58.18,8,278.0,1,3.38,0
tx100092,54.04,21,237.0,2,12.06,0
tx100093,49.76,4,357.0,4,12.19,0
tx100094,24.5,14,1949.0,0,0.65,0
tx100095,25.47,12,1862.0,4,3.07,0
tx100096,80.29,8,1142.0,1,2.21,0
tx100097,34.53,9,1954.0,2,5.48,0
tx100098,49.65,10,31.0,1,2.38,0
tx100099,24.89,9,474.0,0,1.4,0
tx100100,24.06,11,154.0,2,2.86,0
tx100101,19.7,1,235.0,2,0.28,0
tx100102,121.84,15,193.0,2,0.75,0
tx100103,16.82,11,1095.0,0,5.96,0
tx100104,22.76,19,1784.0,0,0.25,0
tx100105,171.24,8,238.0,1,12.77,0
tx100106,39.21,8,1372.0,0,0.31,0
tx100107,91.44,17,1815.0,2,2.45,0
tx100108,55.9,8,795.0,3,0.03,0
tx100109,152.39,17,553.0,2,8.82,0
tx100110,34.94,20,1444.0,2,4.9,0
