transaction_id,amount_usd,hour_of_day,account_age_days,transactions_last_hour,distance_from_home_km,is_anomaly,anomaly_score,flagged
tx102241,795.18,0,34.0,7,276.33,1,0.20213502183129572,1
tx102913,1079.57,0,31.0,4,284.57,1,0.20100439741206588,1
tx100142,565.5,22,43.0,7,460.84,1,0.19697248288934088,1
tx101021,349.87,21,47.0,9,285.94,1,0.1896824715413541,1
tx103149,2138.2,3,28.0,3,149.41,1,0.1875345641124757,1
tx103074,360.69,2,32.0,7,302.84,1,0.18541402754192404,1
tx101599,1344.08,9,59.0,7,128.98,1,0.18523831552718983,1
tx103709,1114.47,14,10.0,9,84.72,1,0.18367350966314278,1
tx104696,771.08,17,49.0,7,178.04,1,0.1813296517546591,1
tx103903,245.12,1,15.0,10,223.99,1,0.18023871204807396,1
tx100609,1406.3,1,5.0,11,35.75,1,0.1793608283610224,1
tx100575,1161.53,4,28.0,4,166.87,1,0.17785314335645408,1
tx101803,866.03,1,46.0,5,168.7,1,0.1774817055973047,1
tx102622,848.37,4,49.0,8,131.41,1,0.17739847227295802,1
tx101824,1080.33,2,45.0,6,130.85,1,0.17671546418772666,1
tx102503,890.29,0,11.0,11,52.13,1,0.17239758686264928,1
tx103717,410.21,1,22.0,6,197.09,1,0.17071047451297516,1
tx103057,598.02,2,12.0,4,233.67,1,0.1706327338567708,1
tx100927,450.52,15,49.0,8,165.91,1,0.1704380605658734,1
tx101679,521.54,13,30.0,8,156.42,1,0.16902592894884383,1
tx100153,166.0,2,55.0,10,192.22,1,0.1680549982378131,1
tx102595,470.39,16,4.0,8,131.09,1,0.16778440330612476,1
tx104721,495.96,17,40.0,7,165.56,1,0.16773247966306815,1
tx103696,637.7,6,58.0,5,197.8,1,0.16740717631216162,1
tx100557,295.8,16,20.0,6,315.35,1,0.1672514887856581,1
tx100836,1912.49,1,24.0,5,77.9,1,0.1669209305354652,1
tx102150,181.77,9,13.0,12,185.23,1,0.1665979443998803,1
tx103607,423.99,3,16.0,5,323.99,1,0.1661821380906151,1
tx101689,694.41,3,46.0,3,187.33,1,0.16582574373788095,1
tx101148,1300.49,2,10.0,7,60.99,1,0.16379423911585045,1
tx101350,396.7,1,34.0,9,110.75,1,0.16340136577542697,1
tx103182,229.14,23,19.0,5,228.8,1,0.1602777777365907,1
tx102209,354.4,7,54.0,9,110.9,1,0.15969386206962977,1
tx101387,264.46,3,35.0,10,157.99,1,0.1594600903330078,1
tx101295,997.9,4,17.0,13,22.6,1,0.15943937639665473,1
tx103890,1277.1,5,16.0,7,58.62,1,0.1553981709290232,1
tx104203,460.98,2,4.0,7,116.84,1,0.1544558155765854,1
tx104745,963.85,21,6.0,7,29.41,1,0.1529441267991446,1
tx104648,92.43,1,39.0,7,235.01,1,0.15203623852269577,1
tx103291,337.01,23,40.0,3,158.93,1,0.15084036416943547,1
tx100570,251.28,2,53.0,12,84.88,1,0.15079957857264525,1
tx102639,3339.77,1,23.0,5,37.49,1,0.14997561586243013,1
tx103350,1828.39,4,40.0,7,42.59,1,0.1493985318732104,1
tx100313,665.73,2,55.0,6,82.84,1,0.14717091164745022,1
tx100529,399.79,17,6.0,7,91.6,1,0.14685010034736767,1
tx100705,546.99,0,25.0,1,122.26,1,0.14677772447003123,1
tx101989,485.76,8,16.0,6,124.93,1,0.145351577991103,1
tx104788,651.85,0,12.0,11,3.16,1,0.14242352879949038,1
tx104837,1230.96,11,35.0,5,74.69,1,0.1419899706647325,1
tx102094,152.48,3,52.0,4,329.21,1,0.14106014565533553,1
tx100272,1082.19,21,38.0,8,6.63,1,0.1406172606267846,1
tx100417,140.76,11,6.0,10,130.44,1,0.13893172590115044,1
tx101213,2119.58,7,56.0,6,10.79,1,0.13820331581531398,1
tx104474,1022.87,14,37.0,5,60.9,1,0.13789585907277113,1
tx101877,491.75,2,16.0,7,66.96,1,0.1376060122329813,1
tx103703,1027.08,21,45.0,3,56.87,1,0.137542517510993,1
tx102856,574.21,21,52.0,10,31.56,1,0.13692485725912873,1
tx100689,869.68,21,46.0,7,18.44,1,0.13653702478133978,1
tx101031,235.96,19,10.0,6,122.79,1,0.1355663473209241,1
tx103615,657.24,3,51.0,9,34.73,1,0.13416106462500033,1
tx101141,78.64,7,42.0,10,137.63,1,0.13340337249326129,1
tx100033,1140.58,2,16.0,5,47.98,1,0.13056383236671076,1
tx102798,1686.08,22,28.0,5,14.47,1,0.1292267303071123,1
tx102877,1317.51,3,2.0,6,3.85,1,0.1282843166322739,1
tx104458,537.18,3,18.0,2,99.91,1,0.12667811359184944,1
tx103305,449.6,8,40.0,5,116.54,1,0.12627367734381167,1
tx104343,784.38,1,21.0,7,10.47,1,0.12569922261359223,1
tx100038,326.85,5,59.0,9,55.13,1,0.12430407708460733,1
tx102506,630.69,0,29.0,5,60.68,1,0.12344899908194584,1
tx104191,1181.28,10,13.0,6,17.54,1,0.1215253916323148,1
tx102023,133.81,15,4.0,3,238.71,1,0.11949065528134162,1
tx103909,635.97,3,14.0,3,76.72,1,0.11800292906898624,1
tx104923,1360.5,9,38.0,4,29.34,1,0.11663864409573022,1
tx104921,405.58,0,51.0,9,7.65,1,0.11629711229118855,1
tx104017,411.56,0,44.0,8,21.62,1,0.11463383759028989,1
tx102822,93.99,15,12.0,6,145.6,1,0.11374269467723808,1
tx104125,310.68,3,54.0,8,56.46,1,0.11308749528800366,1
tx100565,73.38,4,44.0,4,208.1,1,0.11263056347174583,1
tx101641,520.88,3,35.0,9,8.89,1,0.11175273690029897,1
tx104609,152.56,3,44.0,7,99.14,1,0.11114941259312483,1
tx101633,161.95,2,13.0,5,131.93,1,0.1099563020069394,1
tx104060,215.64,0,7.0,4,87.79,1,0.10937636918330929,1
tx100989,248.38,2,34.0,3,119.38,1,0.10881070954556427,1
tx101065,406.68,0,21.0,6,36.61,1,0.10640214421902783,1
tx104743,230.81,2,14.0,9,43.08,1,0.10575638028453904,1
tx101159,91.55,1,26.0,11,54.59,1,0.10539330753389453,1
tx102862,198.25,3,42.0,8,59.83,1,0.10466736375267316,1
tx103620,418.65,16,11.0,6,50.76,1,0.10459015290556295,1
tx100752,112.43,21,21.0,6,84.18,1,0.10440279529738505,1
tx102784,182.06,3,33.0,12,44.48,1,0.1027080620983164,1
tx103375,213.52,7,44.0,6,86.32,1,0.10193464571370892,1
tx103301,277.07,1,32.0,5,83.28,1,0.10178450992222832,1
tx100891,1202.6,11,24.0,5,0.34,1,0.10142615728685667,1
tx103702,149.17,0,55.0,8,49.26,1,0.10062922922235762,1
tx102331,438.12,3,32.0,4,68.22,1,0.09979950716943731,1
tx102825,919.66,14,7.0,5,12.13,1,0.09899951265389884,1
tx104570,800.6,0,48.0,5,1.18,1,0.09709846280505474,1
tx104868,240.05,14,32.0,6,62.37,1,0.0969152494900063,1
tx100428,508.22,15,1.0,2,56.87,1,0.0961766004266591,1
tx102029,420.03,4,55.0,4,63.93,1,0.09519941032873214,1
tx103766,479.89,7,6.0,3,58.92,1,0.09451975699226323,1
tx104848,477.57,4,19.0,7,14.63,1,0.091415338902192,1
tx104064,743.43,1,25.0,4,12.31,1,0.09138554129575027,1
tx103112,463.84,8,44.0,8,3.78,1,0.09114841424804299,1
tx102465,1116.48,11,49.0,4,0.65,1,0.08755340113273158,1
tx100821,416.63,4,35.0,6,37.07,1,0.08715224826351609,1
tx100730,508.54,8,2.0,2,55.5,1,0.08582678521051712,1
tx101017,636.53,2,34.0,5,17.11,1,0.08579481876107231,1
tx102430,136.84,4,3.0,16,15.06,1,0.08357258622887365,1
