customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,payment_method,num_support_calls,churn
cust10000,6,40.37,249.41,Month-to-month,No,Yes,Bank transfer,1,1
cust10001,56,67.91,3878.26,Month-to-month,Fiber optic,No,Credit card,1,0
cust10002,47,66.77,3150.34,Month-to-month,DSL,No,Bank transfer,0,0
cust10003,32,62.41,1996.12,Month-to-month,Fiber optic,Yes,Mailed check,1,0
cust10004,31,46.49,1517.5,One year,DSL,Yes,Credit card,2,0
cust10005,62,91.8,5614.68,Month-to-month,Fiber optic,No,Mailed check,2,0
cust10006,6,77.02,432.85,Two year,Fiber optic,No,Credit card,0,0
cust10007,50,77.26,3818.63,Month-to-month,DSL,No,Electronic check,3,1
cust10008,14,46.77,545.03,One year,DSL,No,Electronic check,2,0
cust10009,6,78.08,512.14,Month-to-month,Fiber optic,No,Mailed check,4,1
cust10010,38,72.86,2740.81,One year,DSL,Yes,Electronic check,2,0
cust10011,71,18.0,1323.27,One year,No,No,Credit card,0,0
cust10012,53,55.35,2953.0,Month-to-month,Fiber optic,Yes,Electronic check,2,1
cust10013,55,65.45,3630.11,Two year,Fiber optic,No,Bank transfer,2,0
cust10014,52,59.76,3084.75,Month-to-month,DSL,Yes,Electronic check,2,1
cust10015,57,55.68,3135.55,Month-to-month,Fiber optic,Yes,Credit card,0,0
cust10016,37,32.16,1194.41,One year,No,No,Mailed check,0,0
cust10017,9,56.32,552.84,Two year,DSL,No,Electronic check,0,1
cust10018,61,74.17,4521.85,Month-to-month,DSL,No,Electronic check,1,0
cust10019,32,62.55,1966.5,Month-to-month,DSL,No,Bank transfer,1,1
cust10020,36,79.37,2797.37,Two year,Fiber optic,No,Credit card,0,0
cust10021,27,91.31,2475.58,One year,Fiber optic,No,Credit card,2,1
cust10022,13,81.47,1031.41,Two year,Fiber optic,No,Electronic check,0,0
cust10023,67,69.48,4651.57,Month-to-month,Fiber optic,No,Mailed check,5,1
cust10024,57,36.26,2054.88,One year,DSL,No,Electronic check,1,0
cust10025,47,43.17,2006.77,Month-to-month,DSL,No,Mailed check,4,1
cust10026,29,49.52,1450.77,Two year,DSL,No,Bank transfer,0,1
cust10027,60,27.1,1653.73,Month-to-month,No,Yes,Electronic check,1,0
cust10028,39,49.38,2024.08,One year,Fiber optic,No,Bank transfer,2,1
cust10029,32,72.37,2353.74,Month-to-month,Fiber optic,Yes,Credit card,0,1
