trip_id,pickup_datetime,passenger_count,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,distance_mi,trip_duration
trip101745,2023-03-31 08:45:00,2,40.71514066646821,-73.94091874553246,40.70680115355902,-73.94254804553142,0.582,303
trip103999,2023-05-10 06:37:00,4,40.693601263194466,-73.96882226707291,40.7050039947579,-73.95952898477746,0.926,347
trip101373,2023-03-02 04:54:00,2,40.67776279387903,-74.00808186479456,40.71912156913638,-74.00633045926376,2.859,947
trip103964,2023-03-18 15:51:00,4,40.739223802069766,-73.91578277437924,40.738888473929926,-74.00006120157029,4.412,1076
trip103531,2023-10-03 07:58:00,3,40.741595883933805,-74.00939368078032,40.71423273539815,-74.00776682009631,1.893,783
trip102005,2023-07-04 21:02:00,1,40.80052052145537,-73.95546410080073,40.83578609159243,-73.95162301602387,2.445,586
trip101533,2023-12-02 17:48:00,2,40.69758273565925,-73.97250980202233,40.69708817754946,-73.98226396669621,0.512,237
trip102486,2023-09-29 11:00:00,1,40.754819726350426,-73.9830756504763,40.75910414925288,-73.98354334683401,0.297,177
trip101754,2023-03-22 10:43:00,2,40.79946361999965,-74.01925732987323,40.79599874353092,-74.0256185467063,0.41,359
trip100978,2023-05-15 13:31:00,2,40.68624210583314,-73.92929558362826,40.67614021706875,-73.91697534866988,0.951,329
trip102899,2023-10-20 11:37:00,1,40.78638464873209,-74.03,40.77370520599339,-74.03,0.876,328
trip100149,2023-07-27 07:28:00,2,40.75706718553504,-74.03,40.75597645992769,-74.03,0.075,147
trip102132,2023-06-26 07:57:00,2,40.732988231872085,-73.93986460910219,40.753312527455115,-73.94203922001336,1.409,791
trip102591,2023-01-26 19:17:00,2,40.84713965548172,-73.9026793241347,40.81546468099952,-73.89744174035295,2.206,931
trip101744,2023-07-06 09:58:00,4,40.780205260522614,-73.95656755955842,40.74153546526207,-73.95806691358862,2.673,847
trip102302,2023-10-18 09:34:00,2,40.63,-73.9907105275296,40.63,-74.01106838961941,1.068,396
trip102687,2023-07-07 12:07:00,3,40.739210304419785,-74.02888442510466,40.73447702488132,-74.02684722512831,0.344,93
trip101192,2023-07-16 11:09:00,3,40.73845056476201,-73.9652579737078,40.738729819954045,-73.96488738462463,0.027,30
trip101149,2023-06-08 15:28:00,2,40.79635879314187,-74.03,40.79914808959648,-74.03,0.193,106
trip101313,2023-03-16 18:58:00,2,40.7681779309331,-73.98797735976679,40.75279634976136,-73.97606013331047,1.232,668
trip102840,2023-01-21 21:47:00,1,40.74244566687582,-73.90016179994234,40.74549396211533,-73.89907408426708,0.218,401
trip102384,2023-07-02 23:52:00,2,40.78078170609028,-73.95696468395779,40.76071388576198,-73.96494388888179,1.448,494
trip100555,2023-02-16 18:29:00,1,40.73618125517494,-73.90693857699122,40.74845571885951,-73.89096335094999,1.191,463
trip103705,2023-06-13 00:33:00,3,40.73955434392771,-73.99845223278137,40.73668967727297,-73.99341993192249,0.33,328
trip101610,2023-03-04 19:16:00,3,40.76296985783907,-73.9385401410955,40.76311749246302,-73.93878974960553,0.017,42
trip101510,2023-01-01 07:03:00,3,40.75305609261262,-73.96189355932111,40.74722325936553,-73.96043836372691,0.41,303
trip100318,2023-03-22 15:28:00,4,40.79453127705677,-74.02264588510377,40.81430572919019,-74.02661272046747,1.382,908
trip103966,2023-12-24 02:03:00,2,40.70523520964371,-73.98821051593775,40.7319055110139,-73.99418104382664,1.869,542
trip103516,2023-08-09 20:05:00,1,40.77009074595603,-73.94439910647611,40.768976357961456,-73.94589185059678,0.11,124
trip103473,2023-01-03 16:54:00,1,40.77476950799206,-74.00838472673361,40.77497308404424,-74.0017521140019,0.347,300
trip100721,2023-10-18 10:56:00,1,40.800760848580715,-74.0207913277263,40.775880167478604,-74.03,1.785,684
trip102228,2023-04-28 20:36:00,1,40.84836386948879,-74.00982834999616,40.84065742764088,-74.0066222496787,0.558,208
trip103704,2023-10-08 00:53:00,2,40.77350620962255,-73.97590095149468,40.7735492817148,-73.97822895378796,0.122,170
trip102439,2023-08-17 02:48:00,1,40.744161870856516,-73.91612414372334,40.77402815558181,-73.90735670018674,2.114,715
trip101945,2023-05-26 11:54:00,2,40.6688714711612,-74.03,40.65633404651121,-74.00909872500837,1.397,400
trip100718,2023-01-05 02:32:00,2,40.734207142800194,-73.96706786806604,40.69227728511949,-73.9748647323716,2.926,602
trip102099,2023-06-03 17:53:00,2,40.81945717852066,-73.98198383116986,40.85074200388062,-73.9749945062505,2.192,984
trip103353,2023-10-19 16:35:00,4,40.71374268250243,-73.97742925739459,40.667412294595756,-73.97834884247195,3.202,1530
trip100205,2023-02-15 12:21:00,4,40.747807671913144,-73.99157930483696,40.766024803864354,-73.9830522896811,1.335,522
trip100393,2023-03-01 03:26:00,1,40.77067235972725,-74.02154243058128,40.78353680464928,-74.03,0.993,332
trip103509,2023-12-27 17:54:00,1,40.70335196953759,-74.01478920728198,40.706720797967414,-73.99554236034027,1.035,516
trip102436,2023-08-17 07:42:00,2,40.705760413255376,-73.9394708812715,40.70300977940676,-73.95169007033033,0.668,345
trip102594,2023-05-20 23:48:00,2,40.677631638495484,-74.00747733283349,40.68142972670365,-74.02548002347275,0.979,299
trip102241,2023-05-30 18:09:00,2,40.713730287602566,-73.9814906726713,40.662186197435155,-74.011700169382,3.897,1047
trip102550,2023-12-27 11:18:00,3,40.674440030756934,-73.97975066207437,40.67397733902626,-73.97990628010136,0.033,231
trip100270,2023-05-08 21:35:00,1,40.717529888490574,-74.03,40.71350361005954,-74.03,0.278,128
trip101356,2023-01-30 22:47:00,3,40.733070455329745,-74.03,40.73568600947395,-74.02807244683547,0.207,278
trip100655,2023-10-24 21:36:00,3,40.7643730118706,-73.98377201346759,40.78737953410345,-73.97885605969589,1.61,558
trip103238,2023-03-24 12:33:00,1,40.790912182099625,-73.8973014466146,40.78846692584556,-73.89293574604878,0.284,452
trip101456,2023-02-23 07:20:00,1,40.85348150918668,-74.03,40.84700156978534,-73.95760830678358,3.81,1496
trip102669,2023-01-21 23:20:00,1,40.720491544190544,-74.020990824639,40.69847992538853,-74.0181682526539,1.528,800
trip100070,2023-07-18 20:30:00,1,40.69259411544979,-73.98988172951665,40.697910982220876,-73.99528092622805,0.464,242
trip102936,2023-08-03 09:52:00,4,40.67048671458415,-74.012661751263,40.66121544658659,-73.98871423330712,1.409,584
trip100501,2023-04-28 15:05:00,2,40.79028332418873,-73.93114757686617,40.77506541214946,-73.91657519038186,1.299,511
trip101764,2023-05-29 22:52:00,1,40.70266507271957,-73.99563440267188,40.716164384032254,-73.99014147499997,0.976,481
trip100414,2023-12-03 08:05:00,1,40.737180217012785,-73.9874179971711,40.72860307244531,-73.98932994364773,0.601,345
trip100893,2023-12-07 15:05:00,2,40.75173615053414,-74.01751181473814,40.74214034802982,-74.02885371153354,0.89,431
trip100568,2023-03-16 03:57:00,2,40.77467925643734,-73.95110311714653,40.776901468036094,-73.94870964538426,0.198,169
trip100196,2023-08-30 20:18:00,1,40.77894970576101,-73.96725209408322,40.77617086009796,-73.9755458574386,0.475,158
trip101514,2023-08-11 21:21:00,1,40.6742953083194,-73.99832880025434,40.67427174801419,-73.99877207781604,0.023,89
trip100976,2023-01-18 09:16:00,1,40.799710564693115,-73.97333195049579,40.79872505944557,-73.97208160988674,0.094,249
trip100096,2023-12-21 21:04:00,2,40.69047851744405,-73.95523447043678,40.717872258109416,-73.96366192309485,1.944,682
trip103209,2023-10-06 07:39:00,4,40.72532445079607,-73.97820757042996,40.70274708176741,-73.97456148650443,1.572,645
trip101171,2023-06-18 19:43:00,1,40.664134131404865,-73.98414191423795,40.70646839923683,-73.98742737833652,2.93,1403
trip101826,2023-07-05 18:22:00,4,40.78872383685827,-73.93655960494908,40.80811570473471,-73.99164479976154,3.178,1085
trip103331,2023-01-01 20:33:00,2,40.74843943374916,-73.86776897326281,40.7776806440227,-73.86328224985053,2.034,632
trip100308,2023-05-04 23:11:00,1,40.77621948588945,-73.96486882891415,40.78049120279111,-73.9755222767485,0.631,352
trip101491,2023-12-30 00:34:00,2,40.74897916261035,-74.03,40.748851869213716,-74.03,0.009,32
trip103260,2023-02-06 03:22:00,1,40.75483519162138,-73.97672500935263,40.75326293285636,-73.97829606348598,0.136,58
trip100109,2023-05-08 14:49:00,4,40.672270580956344,-73.97865747957931,40.63,-73.99534142573913,3.049,1027
trip100465,2023-07-14 01:37:00,1,40.72935961217773,-73.95576759658616,40.72370761885478,-73.95966569592301,0.441,241
trip100838,2023-09-28 18:28:00,4,40.83268240039694,-73.92598108200404,40.83895362496627,-73.92161544273995,0.49,298
