listing_id,bedrooms,bathrooms,accommodates,room_type,neighborhood,description,price
listing1000,1,2,3,Entire home/apt,Downtown,Convenient location. easy check-in process. well maintained. comfortable and clean.,206.95
listing1001,4,1,9,Private room,Uptown,Close to public transit. a bit dated but functional. no frills stay. great for a short stay.,162.99
listing1002,4,1,9,Entire home/apt,Uptown,Reliable wifi. convenient location. responsive host. comfortable and clean.,251.3
listing1003,3,1,7,Private room,Suburb,Parking available nearby. recently renovated. modern finishes throughout. walk to great restaurants.,172.61
listing1004,3,2,7,Shared room,Uptown,Close to public transit. walk to great restaurants. recently renovated. great for a short stay. high-end appliances.,197.13
listing1005,5,1,6,Entire home/apt,Uptown,Spacious and bright. modern finishes throughout. quiet street. high-end appliances.,302.42
listing1006,1,3,3,Shared room,Downtown,Well maintained. responsive host. reliable wifi. standard kitchen and bath. quiet street.,117.24
listing1007,4,2,5,Private room,Downtown,Comfortable and clean. reliable wifi. quiet street. parking available nearby. standard kitchen and bath.,202.45
listing1008,2,3,5,Entire home/apt,Suburb,Comfortable and clean. standard kitchen and bath. responsive host.,200.6
listing1009,1,3,3,Entire home/apt,Downtown,No frills stay. close to public transit. basic amenities.,205.62
listing1010,3,2,4,Private room,Suburb,Walk to great restaurants. easy check-in process. high-end appliances.,184.44
listing1011,5,1,11,Shared room,Uptown,Convenient location. easy check-in process. well maintained. reliable wifi.,203.57
listing1012,4,3,5,Entire home/apt,Downtown,"A bit dated but functional. thin walls, budget option. great for a short stay. parking available nearby.",239.67
listing1013,4,1,9,Entire home/apt,Downtown,High-end appliances. spacious and bright. close to public transit. great for a short stay. modern finishes throughout.,306.71
listing1014,4,1,5,Private room,Downtown,Convenient location. easy check-in process. reliable wifi. well maintained.,189.18
listing1015,4,3,5,Entire home/apt,Suburb,Shared bathroom down the hall. basic amenities. quiet street.,200.28
listing1016,3,2,7,Private room,Uptown,Well maintained. parking available nearby. convenient location.,159.9
listing1017,1,1,2,Entire home/apt,Uptown,Parking available nearby. great for a short stay. walk to great restaurants. modern finishes throughout. high-end appliances.,226.19
listing1018,5,2,11,Private room,Waterfront,Great for a short stay. marble bathroom and premium linens. close to public transit. stunning skyline view.,354.6
listing1019,3,2,7,Private room,Waterfront,Well maintained. close to public transit. great for a short stay. convenient location. standard kitchen and bath.,198.33
listing1020,3,3,4,Private room,Suburb,Private rooftop access. parking available nearby. five-star concierge service. responsive host. designer furnished.,242.7
listing1021,2,3,3,Private room,Suburb,Quiet street. high-end appliances. spacious and bright. walk to great restaurants.,165.67
listing1022,1,1,2,Private room,Waterfront,Spacious and bright. easy check-in process. quiet street. walk to great restaurants. high-end appliances.,184.64
listing1023,5,1,6,Private room,Suburb,Walk to great restaurants. spacious and bright. close to public transit. modern finishes throughout.,192.87
listing1024,4,2,5,Private room,Suburb,Quiet street. standard kitchen and bath. convenient location. well maintained.,155.25
listing1025,4,1,9,Entire home/apt,Uptown,Walk to great restaurants. close to public transit. parking available nearby. high-end appliances.,292.3
listing1026,3,1,4,Private room,Waterfront,Quiet street. reliable wifi. easy check-in process. convenient location.,187.48
listing1027,5,1,11,Entire home/apt,Downtown,Spacious and bright. close to public transit. recently renovated. walk to great restaurants.,331.46
listing1028,3,1,4,Private room,Suburb,Shared bathroom down the hall. easy check-in process. no frills stay. a bit dated but functional. quiet street.,65.0
listing1029,3,3,7,Private room,Suburb,Close to public transit. walk to great restaurants. spacious and bright. easy check-in process. recently renovated.,184.02
listing1030,3,1,7,Entire home/apt,Downtown,Designer furnished. marble bathroom and premium linens. five-star concierge service. easy check-in process.,336.27
listing1031,2,1,3,Entire home/apt,Suburb,Reliable wifi. convenient location. great for a short stay.,168.77
listing1032,1,3,3,Entire home/apt,Suburb,Designer furnished. private rooftop access. great for a short stay. five-star concierge service. responsive host.,280.2
listing1033,3,1,4,Private room,Downtown,Well maintained. comfortable and clean. responsive host. close to public transit.,176.99
listing1034,5,3,6,Entire home/apt,Uptown,Basic amenities. shared bathroom down the hall. no frills stay. parking available nearby. great for a short stay.,249.98
listing1035,1,1,3,Entire home/apt,Suburb,Basic amenities. no frills stay. a bit dated but functional. close to public transit.,119.61
listing1036,5,1,11,Private room,Suburb,Recently renovated. walk to great restaurants. easy check-in process. modern finishes throughout.,242.25
listing1037,5,1,6,Private room,Downtown,Reliable wifi. standard kitchen and bath. parking available nearby.,206.92
listing1038,2,3,3,Entire home/apt,Uptown,Reliable wifi. well maintained. parking available nearby. quiet street.,211.32
listing1039,4,2,5,Entire home/apt,Waterfront,Quiet street. parking available nearby. convenient location. well maintained.,263.93
listing1040,1,2,2,Shared room,Downtown,Convenient location. reliable wifi. comfortable and clean. close to public transit.,128.03
listing1041,4,1,5,Private room,Uptown,Great for a short stay. reliable wifi. convenient location.,176.71
listing1042,4,1,5,Private room,Downtown,Spacious and bright. quiet street. easy check-in process. recently renovated. modern finishes throughout.,223.51
listing1043,2,2,5,Entire home/apt,Downtown,Close to public transit. spacious and bright. high-end appliances. recently renovated. quiet street.,269.63
listing1044,1,1,2,Entire home/apt,Waterfront,Parking available nearby. recently renovated. high-end appliances.,247.12
listing1045,5,2,11,Entire home/apt,Waterfront,Responsive host. easy check-in process. convenient location. reliable wifi.,315.99
listing1046,3,3,7,Private room,Waterfront,Designer furnished. five-star concierge service. responsive host.,295.59
listing1047,5,3,11,Entire home/apt,Suburb,Great for a short stay. a bit dated but functional. basic amenities. no frills stay. quiet street.,236.15
listing1048,4,2,5,Entire home/apt,Uptown,Easy check-in process. reliable wifi. standard kitchen and bath.,251.07
listing1049,4,1,9,Private room,Downtown,"Shared bathroom down the hall. thin walls, budget option. no frills stay. responsive host.",173.7
listing1050,4,1,9,Shared room,Downtown,Quiet street. convenient location. standard kitchen and bath. easy check-in process. reliable wifi.,177.55
listing1051,1,3,2,Private room,Downtown,Comfortable and clean. convenient location. easy check-in process.,129.97
listing1052,2,2,5,Entire home/apt,Uptown,Modern finishes throughout. high-end appliances. spacious and bright. easy check-in process.,251.93
listing1053,3,2,4,Entire home/apt,Downtown,Convenient location. parking available nearby. reliable wifi.,242.83
listing1054,3,2,7,Entire home/apt,Downtown,Easy check-in process. basic amenities. a bit dated but functional. responsive host.,223.14
listing1055,1,1,2,Entire home/apt,Downtown,Comfortable and clean. well maintained. standard kitchen and bath. parking available nearby.,193.39
listing1056,3,3,7,Entire home/apt,Waterfront,Designer furnished. quiet street. easy check-in process. private rooftop access.,375.98
listing1057,1,3,2,Entire home/apt,Waterfront,Easy check-in process. close to public transit. standard kitchen and bath. convenient location.,229.42
listing1058,4,3,5,Private room,Suburb,"Basic amenities. no frills stay. parking available nearby. thin walls, budget option. close to public transit.",143.63
listing1059,4,3,5,Private room,Suburb,Well maintained. easy check-in process. convenient location. reliable wifi.,164.11
listing1060,5,1,6,Shared room,Waterfront,Reliable wifi. comfortable and clean. convenient location. close to public transit.,192.2
listing1061,4,1,5,Entire home/apt,Downtown,Responsive host. comfortable and clean. convenient location.,244.47
listing1062,2,1,3,Entire home/apt,Waterfront,Close to public transit. quiet street. reliable wifi. standard kitchen and bath. comfortable and clean.,215.88
listing1063,5,3,6,Entire home/apt,Downtown,Easy check-in process. well maintained. convenient location. comfortable and clean.,299.24
listing1064,3,2,7,Entire home/apt,Uptown,Convenient location. quiet street. well maintained. comfortable and clean.,227.56
listing1065,2,2,5,Entire home/apt,Uptown,Convenient location. comfortable and clean. quiet street.,212.15
listing1066,5,3,11,Entire home/apt,Uptown,"Shared bathroom down the hall. thin walls, budget option. responsive host. close to public transit.",257.41
listing1067,2,2,5,Private room,Downtown,Designer furnished. stunning skyline view. five-star concierge service. close to public transit.,236.07
listing1068,1,3,2,Entire home/apt,Waterfront,Responsive host. comfortable and clean. close to public transit. well maintained.,230.83
listing1069,3,3,4,Shared room,Suburb,Comfortable and clean. quiet street. easy check-in process. well maintained.,114.31
listing1070,4,1,5,Entire home/apt,Suburb,Basic amenities. close to public transit. shared bathroom down the hall.,171.96
listing1071,1,2,2,Entire home/apt,Waterfront,Standard kitchen and bath. convenient location. reliable wifi. responsive host.,197.87
listing1072,3,3,4,Entire home/apt,Uptown,Recently renovated. quiet street. walk to great restaurants. close to public transit. modern finishes throughout.,280.08
listing1073,1,3,3,Entire home/apt,Downtown,Close to public transit. basic amenities. no frills stay.,201.5
listing1074,4,1,9,Entire home/apt,Waterfront,No frills stay. a bit dated but functional. quiet street.,248.16
listing1075,3,1,7,Shared room,Uptown,"Close to public transit. quiet street. basic amenities. a bit dated but functional. thin walls, budget option.",104.41
listing1076,2,2,3,Entire home/apt,Downtown,Comfortable and clean. reliable wifi. parking available nearby. convenient location.,235.86
listing1077,2,3,5,Entire home/apt,Uptown,Quiet street. close to public transit. marble bathroom and premium linens. private rooftop access. designer furnished.,289.27
listing1078,3,1,4,Private room,Suburb,Parking available nearby. convenient location. reliable wifi. great for a short stay.,148.6
listing1079,4,2,5,Entire home/apt,Waterfront,Close to public transit. comfortable and clean. well maintained. convenient location. great for a short stay.,306.33
listing1080,5,1,6,Private room,Uptown,High-end appliances. responsive host. walk to great restaurants. modern finishes throughout. close to public transit.,201.52
listing1081,3,1,7,Entire home/apt,Waterfront,Modern finishes throughout. responsive host. walk to great restaurants.,295.83
listing1082,1,2,2,Private room,Uptown,A bit dated but functional. great for a short stay. shared bathroom down the hall. basic amenities.,77.37
listing1083,5,2,6,Entire home/apt,Uptown,"Shared bathroom down the hall. responsive host. a bit dated but functional. thin walls, budget option. great for a short stay.",235.82
listing1084,4,2,5,Entire home/apt,Downtown,Convenient location. standard kitchen and bath. comfortable and clean. quiet street.,261.98
listing1085,4,1,5,Private room,Uptown,Quiet street. spacious and bright. recently renovated.,221.74
listing1086,1,3,2,Private room,Waterfront,Spacious and bright. great for a short stay. close to public transit. recently renovated. walk to great restaurants.,194.65
listing1087,2,1,3,Entire home/apt,Downtown,Walk to great restaurants. high-end appliances. responsive host. parking available nearby. recently renovated.,242.07
listing1088,4,3,5,Private room,Suburb,Modern finishes throughout. walk to great restaurants. high-end appliances. easy check-in process.,204.93
listing1089,5,1,6,Entire home/apt,Downtown,Comfortable and clean. well maintained. responsive host. quiet street.,285.18
listing1090,3,3,4,Entire home/apt,Waterfront,Parking available nearby. comfortable and clean. quiet street. convenient location. standard kitchen and bath.,250.8
listing1091,5,2,6,Entire home/apt,Waterfront,No frills stay. a bit dated but functional. easy check-in process. shared bathroom down the hall.,249.25
listing1092,5,2,11,Private room,Waterfront,Spacious and bright. great for a short stay. walk to great restaurants.,317.91
listing1093,2,1,3,Entire home/apt,Waterfront,Responsive host. convenient location. standard kitchen and bath. reliable wifi.,215.29
listing1094,5,3,11,Private room,Suburb,Easy check-in process. convenient location. reliable wifi.,207.35
listing1095,2,1,5,Entire home/apt,Uptown,"No frills stay. great for a short stay. thin walls, budget option.",166.23
listing1096,2,2,3,Private room,Waterfront,High-end appliances. close to public transit. walk to great restaurants. easy check-in process.,214.58
listing1097,4,3,5,Private room,Waterfront,Easy check-in process. high-end appliances. close to public transit. spacious and bright.,283.27
listing1098,4,3,5,Entire home/apt,Downtown,Walk to great restaurants. recently renovated. close to public transit. high-end appliances.,323.96
listing1099,1,3,2,Entire home/apt,Downtown,Close to public transit. parking available nearby. basic amenities. no frills stay. shared bathroom down the hall.,162.78
listing1100,5,1,6,Entire home/apt,Uptown,Easy check-in process. great for a short stay. designer furnished. private rooftop access.,332.39
listing1101,1,3,2,Private room,Downtown,Great for a short stay. recently renovated. walk to great restaurants.,181.21
listing1102,5,3,6,Entire home/apt,Uptown,Recently renovated. modern finishes throughout. responsive host. walk to great restaurants.,315.78
listing1103,1,1,2,Entire home/apt,Uptown,Spacious and bright. easy check-in process. walk to great restaurants. quiet street.,190.34
listing1104,4,1,9,Entire home/apt,Waterfront,Responsive host. private rooftop access. five-star concierge service. stunning skyline view.,382.83
listing1105,4,3,5,Private room,Downtown,Five-star concierge service. private rooftop access. marble bathroom and premium linens. responsive host. close to public transit.,288.96
listing1106,4,1,9,Entire home/apt,Suburb,Comfortable and clean. easy check-in process. convenient location.,245.92
listing1107,4,2,5,Entire home/apt,Uptown,Comfortable and clean. great for a short stay. standard kitchen and bath.,268.85
listing1108,3,1,7,Shared room,Waterfront,Convenient location. well maintained. parking available nearby. reliable wifi.,164.02
listing1109,4,1,5,Entire home/apt,Downtown,Easy check-in process. high-end appliances. walk to great restaurants. modern finishes throughout.,302.27
listing1110,2,3,5,Private room,Uptown,Convenient location. standard kitchen and bath. responsive host.,141.22
listing1111,4,1,9,Entire home/apt,Downtown,"A bit dated but functional. great for a short stay. parking available nearby. thin walls, budget option.",250.48
listing1112,3,3,4,Entire home/apt,Waterfront,Great for a short stay. shared bathroom down the hall. quiet street. basic amenities.,229.02
listing1113,3,3,7,Private room,Uptown,Quiet street. five-star concierge service. responsive host. designer furnished.,258.95
listing1114,3,1,4,Private room,Suburb,Close to public transit. modern finishes throughout. walk to great restaurants. high-end appliances. easy check-in process.,161.53
listing1115,3,1,4,Private room,Uptown,Parking available nearby. responsive host. stunning skyline view. designer furnished.,234.41
listing1116,1,3,3,Entire home/apt,Waterfront,Convenient location. quiet street. reliable wifi. well maintained.,221.1
listing1117,1,2,3,Entire home/apt,Downtown,Recently renovated. walk to great restaurants. responsive host.,256.4
listing1118,2,1,3,Entire home/apt,Waterfront,Quiet street. walk to great restaurants. great for a short stay. spacious and bright. high-end appliances.,253.58
listing1119,1,3,3,Entire home/apt,Uptown,Well maintained. standard kitchen and bath. quiet street. great for a short stay. comfortable and clean.,215.82
